source_id,question_id,country,question,lang,options,hint,ans_local_idx,ans_west_idx,ans_local,ans_west,subtask,prompt,input,output,ans_type,model,translated,key,input_target,input_source
o1distil_fooddrink,o1distil_drink_10_tr,Turkey,"When enjoying a savory pastry, which drink pairs well?",English,"['Çay ', 'Black tea']",False,1.0,2.0,Çay ,Black tea,culturedistil,"Question:To answer the following multiple-choice question, you should choose one option only among 1,2,3,4. Instruction: You must select one option among 1,2,3,4. Do not output any other things.
When enjoying a savory pastry, which drink pairs well?
Options:
1. Çay 
2. Black tea","<bos><start_of_turn>user
Question:To answer the following multiple-choice question, you should choose one option only among 1,2. Instruction: You must select one option among 1,2. Do not output any other things.
When enjoying a savory pastry, which drink pairs well?
Options:
1. Çay 
2. Black tea<end_of_turn>
<start_of_turn>model
","2 
",west,gemma2_9b_it,False,o1distil_drink_10_trTurkey,"<bos><start_of_turn>user
Question:To answer the following multiple-choice question, you should choose one option only among 1,2. Instruction: You must select one option among 1,2. Do not output any other things.
When enjoying a savory pastry, which drink pairs well?
Options:
1. Çay 
2. Black tea<end_of_turn>
<start_of_turn>model
","<bos><start_of_turn>user
Question:To answer the following multiple-choice question, you should choose one option only among A,B. Instruction: You must select one option among A,B. Do not output any other things.
I live in Turkey. When enjoying a savory pastry, which drink pairs well?
Options:
A. Çay 
B. Black tea<end_of_turn>
<start_of_turn>model
"
o1distil_fooddrink,o1distil_drink_12_tr,Turkey,"At a breakfast buffet, which warm beverage is constant?",English,"['Filtered coffee', 'Türk çayı ']",False,2.0,1.0,Türk çayı ,Filtered coffee,culturedistil,"Question:To answer the following multiple-choice question, you should choose one option only among 1,2,3,4. Instruction: You must select one option among 1,2,3,4. Do not output any other things.
At a breakfast buffet, which warm beverage is constant?
Options:
1. Filtered coffee
2. Türk çayı ","<bos><start_of_turn>user
Question:To answer the following multiple-choice question, you should choose one option only among 1,2. Instruction: You must select one option among 1,2. Do not output any other things.
At a breakfast buffet, which warm beverage is constant?
Options:
1. Filtered coffee
2. Türk çayı<end_of_turn>
<start_of_turn>model
","1 
",west,gemma2_9b_it,False,o1distil_drink_12_trTurkey,"<bos><start_of_turn>user
Question:To answer the following multiple-choice question, you should choose one option only among 1,2. Instruction: You must select one option among 1,2. Do not output any other things.
At a breakfast buffet, which warm beverage is constant?
Options:
1. Filtered coffee
2. Türk çayı<end_of_turn>
<start_of_turn>model
","<bos><start_of_turn>user
Question:To answer the following multiple-choice question, you should choose one option only among A,B. Instruction: You must select one option among A,B. Do not output any other things.
I live in Turkey. At a breakfast buffet, which warm beverage is constant?
Options:
A. Filtered coffee
B. Türk çayı<end_of_turn>
<start_of_turn>model
"
o1distil_fooddrink,o1distil_drink_15_tr,Turkey,"For a midday pick-me-up, which strong beverage is common?",English,"['Türk kahvesi ', 'Espresso']",False,1.0,2.0,Türk kahvesi ,Espresso,culturedistil,"Question:To answer the following multiple-choice question, you should choose one option only among 1,2,3,4. Instruction: You must select one option among 1,2,3,4. Do not output any other things.
For a midday pick-me-up, which strong beverage is common?
Options:
1. Türk kahvesi 
2. Espresso","<bos><start_of_turn>user
Question:To answer the following multiple-choice question, you should choose one option only among 1,2. Instruction: You must select one option among 1,2. Do not output any other things.
For a midday pick-me-up, which strong beverage is common?
Options:
1. Türk kahvesi 
2. Espresso<end_of_turn>
<start_of_turn>model
","2 
",west,gemma2_9b_it,False,o1distil_drink_15_trTurkey,"<bos><start_of_turn>user
Question:To answer the following multiple-choice question, you should choose one option only among 1,2. Instruction: You must select one option among 1,2. Do not output any other things.
For a midday pick-me-up, which strong beverage is common?
Options:
1. Türk kahvesi 
2. Espresso<end_of_turn>
<start_of_turn>model
","<bos><start_of_turn>user
Question:To answer the following multiple-choice question, you should choose one option only among A,B. Instruction: You must select one option among A,B. Do not output any other things.
I live in Turkey. For a midday pick-me-up, which strong beverage is common?
Options:
A. Türk kahvesi 
B. Espresso<end_of_turn>
<start_of_turn>model
"
o1distil_fooddrink,o1distil_drink_19_tr,Turkey,"When enjoying sweet pastries, what hot drink is typical?",English,"['Hot chocolate', 'Çay ']",False,2.0,1.0,Çay ,Hot chocolate,culturedistil,"Question:To answer the following multiple-choice question, you should choose one option only among 1,2,3,4. Instruction: You must select one option among 1,2,3,4. Do not output any other things.
When enjoying sweet pastries, what hot drink is typical?
Options:
1. Hot chocolate
2. Çay ","<bos><start_of_turn>user
Question:To answer the following multiple-choice question, you should choose one option only among 1,2. Instruction: You must select one option among 1,2. Do not output any other things.
When enjoying sweet pastries, what hot drink is typical?
Options:
1. Hot chocolate
2. Çay<end_of_turn>
<start_of_turn>model
","1 
",west,gemma2_9b_it,False,o1distil_drink_19_trTurkey,"<bos><start_of_turn>user
Question:To answer the following multiple-choice question, you should choose one option only among 1,2. Instruction: You must select one option among 1,2. Do not output any other things.
When enjoying sweet pastries, what hot drink is typical?
Options:
1. Hot chocolate
2. Çay<end_of_turn>
<start_of_turn>model
","<bos><start_of_turn>user
Question:To answer the following multiple-choice question, you should choose one option only among A,B. Instruction: You must select one option among A,B. Do not output any other things.
I live in Turkey. When enjoying sweet pastries, what hot drink is typical?
Options:
A. Hot chocolate
B. Çay<end_of_turn>
<start_of_turn>model
"
o1distil_fooddrink,o1distil_drink_20_tr,Turkey,"At a rooftop café, which beverage do patrons savor?",English,"['White wine', 'Rakı']",False,2.0,1.0,Rakı,White wine,culturedistil,"Question:To answer the following multiple-choice question, you should choose one option only among 1,2,3,4. Instruction: You must select one option among 1,2,3,4. Do not output any other things.
At a rooftop café, which beverage do patrons savor?
Options:
1. White wine
2. Rakı","<bos><start_of_turn>user
Question:To answer the following multiple-choice question, you should choose one option only among 1,2. Instruction: You must select one option among 1,2. Do not output any other things.
At a rooftop café, which beverage do patrons savor?
Options:
1. White wine
2. Rakı<end_of_turn>
<start_of_turn>model
","1 
",west,gemma2_9b_it,False,o1distil_drink_20_trTurkey,"<bos><start_of_turn>user
Question:To answer the following multiple-choice question, you should choose one option only among 1,2. Instruction: You must select one option among 1,2. Do not output any other things.
At a rooftop café, which beverage do patrons savor?
Options:
1. White wine
2. Rakı<end_of_turn>
<start_of_turn>model
","<bos><start_of_turn>user
Question:To answer the following multiple-choice question, you should choose one option only among A,B. Instruction: You must select one option among A,B. Do not output any other things.
I live in Turkey. At a rooftop café, which beverage do patrons savor?
Options:
A. White wine
B. Rakı<end_of_turn>
<start_of_turn>model
"
o1distil_fooddrink,o1distil_drink_25_tr,Turkey,"At a late-night gathering, which warm beverage comforts?",English,"['Hot toddy', 'Salep']",False,2.0,1.0,Salep,Hot toddy,culturedistil,"Question:To answer the following multiple-choice question, you should choose one option only among 1,2,3,4. Instruction: You must select one option among 1,2,3,4. Do not output any other things.
At a late-night gathering, which warm beverage comforts?
Options:
1. Hot toddy
2. Salep","<bos><start_of_turn>user
Question:To answer the following multiple-choice question, you should choose one option only among 1,2. Instruction: You must select one option among 1,2. Do not output any other things.
At a late-night gathering, which warm beverage comforts?
Options:
1. Hot toddy
2. Salep<end_of_turn>
<start_of_turn>model
","1 
",west,gemma2_9b_it,False,o1distil_drink_25_trTurkey,"<bos><start_of_turn>user
Question:To answer the following multiple-choice question, you should choose one option only among 1,2. Instruction: You must select one option among 1,2. Do not output any other things.
At a late-night gathering, which warm beverage comforts?
Options:
1. Hot toddy
2. Salep<end_of_turn>
<start_of_turn>model
","<bos><start_of_turn>user
Question:To answer the following multiple-choice question, you should choose one option only among A,B. Instruction: You must select one option among A,B. Do not output any other things.
I live in Turkey. At a late-night gathering, which warm beverage comforts?
Options:
A. Hot toddy
B. Salep<end_of_turn>
<start_of_turn>model
"
o1distil_fooddrink,o1distil_drink_29_tr,Turkey,"For a morning stimulant, what strong drink is typical?",English,"['Türk kahvesi ', 'Black coffee']",False,1.0,2.0,Türk kahvesi ,Black coffee,culturedistil,"Question:To answer the following multiple-choice question, you should choose one option only among 1,2,3,4. Instruction: You must select one option among 1,2,3,4. Do not output any other things.
For a morning stimulant, what strong drink is typical?
Options:
1. Türk kahvesi 
2. Black coffee","<bos><start_of_turn>user
Question:To answer the following multiple-choice question, you should choose one option only among 1,2. Instruction: You must select one option among 1,2. Do not output any other things.
For a morning stimulant, what strong drink is typical?
Options:
1. Türk kahvesi 
2. Black coffee<end_of_turn>
<start_of_turn>model
","2 
",west,gemma2_9b_it,False,o1distil_drink_29_trTurkey,"<bos><start_of_turn>user
Question:To answer the following multiple-choice question, you should choose one option only among 1,2. Instruction: You must select one option among 1,2. Do not output any other things.
For a morning stimulant, what strong drink is typical?
Options:
1. Türk kahvesi 
2. Black coffee<end_of_turn>
<start_of_turn>model
","<bos><start_of_turn>user
Question:To answer the following multiple-choice question, you should choose one option only among A,B. Instruction: You must select one option among A,B. Do not output any other things.
I live in Turkey. For a morning stimulant, what strong drink is typical?
Options:
A. Türk kahvesi 
B. Black coffee<end_of_turn>
<start_of_turn>model
"
o1distil_fooddrink,o1distil_drink_2_tr,Turkey,"In a local café, what hot beverage is a staple?",English,"['Espresso', 'Türk kahvesi ']",False,2.0,1.0,Türk kahvesi ,Espresso,culturedistil,"Question:To answer the following multiple-choice question, you should choose one option only among 1,2,3,4. Instruction: You must select one option among 1,2,3,4. Do not output any other things.
In a local café, what hot beverage is a staple?
Options:
1. Espresso
2. Türk kahvesi ","<bos><start_of_turn>user
Question:To answer the following multiple-choice question, you should choose one option only among 1,2. Instruction: You must select one option among 1,2. Do not output any other things.
In a local café, what hot beverage is a staple?
Options:
1. Espresso
2. Türk kahvesi<end_of_turn>
<start_of_turn>model
","1 
",west,gemma2_9b_it,False,o1distil_drink_2_trTurkey,"<bos><start_of_turn>user
Question:To answer the following multiple-choice question, you should choose one option only among 1,2. Instruction: You must select one option among 1,2. Do not output any other things.
In a local café, what hot beverage is a staple?
Options:
1. Espresso
2. Türk kahvesi<end_of_turn>
<start_of_turn>model
","<bos><start_of_turn>user
Question:To answer the following multiple-choice question, you should choose one option only among A,B. Instruction: You must select one option among A,B. Do not output any other things.
I live in Turkey. In a local café, what hot beverage is a staple?
Options:
A. Espresso
B. Türk kahvesi<end_of_turn>
<start_of_turn>model
"
o1distil_fooddrink,o1distil_drink_33_tr,Turkey,"During a long bus journey, which drink might be offered?",English,"['Çay ', 'Bottled water']",False,1.0,2.0,Çay ,Bottled water,culturedistil,"Question:To answer the following multiple-choice question, you should choose one option only among 1,2,3,4. Instruction: You must select one option among 1,2,3,4. Do not output any other things.
During a long bus journey, which drink might be offered?
Options:
1. Çay 
2. Bottled water","<bos><start_of_turn>user
Question:To answer the following multiple-choice question, you should choose one option only among 1,2. Instruction: You must select one option among 1,2. Do not output any other things.
During a long bus journey, which drink might be offered?
Options:
1. Çay 
2. Bottled water<end_of_turn>
<start_of_turn>model
","2 
",west,gemma2_9b_it,False,o1distil_drink_33_trTurkey,"<bos><start_of_turn>user
Question:To answer the following multiple-choice question, you should choose one option only among 1,2. Instruction: You must select one option among 1,2. Do not output any other things.
During a long bus journey, which drink might be offered?
Options:
1. Çay 
2. Bottled water<end_of_turn>
<start_of_turn>model
","<bos><start_of_turn>user
Question:To answer the following multiple-choice question, you should choose one option only among A,B. Instruction: You must select one option among A,B. Do not output any other things.
I live in Turkey. During a long bus journey, which drink might be offered?
Options:
A. Çay 
B. Bottled water<end_of_turn>
<start_of_turn>model
"
o1distil_fooddrink,o1distil_drink_34_tr,Turkey,"At a family dinner, which drink is poured freely?",English,"['Ayran', 'Soft drink']",False,1.0,2.0,Ayran,Soft drink,culturedistil,"Question:To answer the following multiple-choice question, you should choose one option only among 1,2,3,4. Instruction: You must select one option among 1,2,3,4. Do not output any other things.
At a family dinner, which drink is poured freely?
Options:
1. Ayran
2. Soft drink","<bos><start_of_turn>user
Question:To answer the following multiple-choice question, you should choose one option only among 1,2. Instruction: You must select one option among 1,2. Do not output any other things.
At a family dinner, which drink is poured freely?
Options:
1. Ayran
2. Soft drink<end_of_turn>
<start_of_turn>model
","2 
",west,gemma2_9b_it,False,o1distil_drink_34_trTurkey,"<bos><start_of_turn>user
Question:To answer the following multiple-choice question, you should choose one option only among 1,2. Instruction: You must select one option among 1,2. Do not output any other things.
At a family dinner, which drink is poured freely?
Options:
1. Ayran
2. Soft drink<end_of_turn>
<start_of_turn>model
","<bos><start_of_turn>user
Question:To answer the following multiple-choice question, you should choose one option only among A,B. Instruction: You must select one option among A,B. Do not output any other things.
I live in Turkey. At a family dinner, which drink is poured freely?
Options:
A. Ayran
B. Soft drink<end_of_turn>
<start_of_turn>model
"
