source_id,question_id,country,question,lang,options,hint,ans_local_idx,ans_west_idx,ans_local,ans_west,subtask,prompt,input,output,ans_type,model,translated,key,input_target,input_source
o1distil_fooddrink,o1distil_drink_10_tr,Turkey,"When enjoying a savory pastry, which drink pairs well?",English,"['Çay ', 'Black tea']",False,1.0,2.0,Çay ,Black tea,culturedistil,"Question:To answer the following multiple-choice question, you should choose one option only among 1,2,3,4. Instruction: You must select one option among 1,2,3,4. Do not output any other things.
When enjoying a savory pastry, which drink pairs well?
Options:
1. Çay 
2. Black tea","<bos><start_of_turn>user
Question:To answer the following multiple-choice question, you should choose one option only among 1,2. Instruction: You must select one option among 1,2. Do not output any other things.
When enjoying a savory pastry, which drink pairs well?
Options:
1. Çay 
2. Black tea<end_of_turn>
<start_of_turn>model
","2 
",west,gemma2_9b_it,False,o1distil_drink_10_trTurkey,"<bos><start_of_turn>user
Question:To answer the following multiple-choice question, you should choose one option only among 1,2. Instruction: You must select one option among 1,2. Do not output any other things.
When enjoying a savory pastry, which drink pairs well?
Options:
1. Çay 
2. Black tea<end_of_turn>
<start_of_turn>model
","<bos><start_of_turn>user
Soru:Aşağıdaki çoktan seçmeli soruya cevap vermek için, yalnızca A,B,3,4 arasından bir seçenek seçmelisiniz. Talimat: A,B,3,4 arasından bir seçenek seçmelisiniz. Başka bir şey çıkarmayın.
Tuzlu bir hamur işi yerken hangi içecek iyi uyum sağlar?
Seçenekler:
A. Çay
B. Siyah çay<end_of_turn>
<start_of_turn>model
"
o1distil_fooddrink,o1distil_drink_12_tr,Turkey,"At a breakfast buffet, which warm beverage is constant?",English,"['Filtered coffee', 'Türk çayı ']",False,2.0,1.0,Türk çayı ,Filtered coffee,culturedistil,"Question:To answer the following multiple-choice question, you should choose one option only among 1,2,3,4. Instruction: You must select one option among 1,2,3,4. Do not output any other things.
At a breakfast buffet, which warm beverage is constant?
Options:
1. Filtered coffee
2. Türk çayı ","<bos><start_of_turn>user
Question:To answer the following multiple-choice question, you should choose one option only among 1,2. Instruction: You must select one option among 1,2. Do not output any other things.
At a breakfast buffet, which warm beverage is constant?
Options:
1. Filtered coffee
2. Türk çayı<end_of_turn>
<start_of_turn>model
","1 
",west,gemma2_9b_it,False,o1distil_drink_12_trTurkey,"<bos><start_of_turn>user
Question:To answer the following multiple-choice question, you should choose one option only among 1,2. Instruction: You must select one option among 1,2. Do not output any other things.
At a breakfast buffet, which warm beverage is constant?
Options:
1. Filtered coffee
2. Türk çayı<end_of_turn>
<start_of_turn>model
","<bos><start_of_turn>user
Soru:Aşağıdaki çoktan seçmeli soruya cevap vermek için, yalnızca A,B,3,4 arasından bir seçenek seçmelisiniz. Talimat: A,B,3,4 arasından bir seçenek seçmelisiniz. Başka bir şey çıkarmayın.
Bir kahvaltı büfesinde hangi sıcak içecek daima bulunur?
Seçenekler:
A. Filtre kahve
B. Türk çayı<end_of_turn>
<start_of_turn>model
"
o1distil_fooddrink,o1distil_drink_15_tr,Turkey,"For a midday pick-me-up, which strong beverage is common?",English,"['Türk kahvesi ', 'Espresso']",False,1.0,2.0,Türk kahvesi ,Espresso,culturedistil,"Question:To answer the following multiple-choice question, you should choose one option only among 1,2,3,4. Instruction: You must select one option among 1,2,3,4. Do not output any other things.
For a midday pick-me-up, which strong beverage is common?
Options:
1. Türk kahvesi 
2. Espresso","<bos><start_of_turn>user
Question:To answer the following multiple-choice question, you should choose one option only among 1,2. Instruction: You must select one option among 1,2. Do not output any other things.
For a midday pick-me-up, which strong beverage is common?
Options:
1. Türk kahvesi 
2. Espresso<end_of_turn>
<start_of_turn>model
","2 
",west,gemma2_9b_it,False,o1distil_drink_15_trTurkey,"<bos><start_of_turn>user
Question:To answer the following multiple-choice question, you should choose one option only among 1,2. Instruction: You must select one option among 1,2. Do not output any other things.
For a midday pick-me-up, which strong beverage is common?
Options:
1. Türk kahvesi 
2. Espresso<end_of_turn>
<start_of_turn>model
","<bos><start_of_turn>user
Soru:Aşağıdaki çoktan seçmeli soruya cevap vermek için, yalnızca A,B,3,4 arasından bir seçenek seçmelisiniz. Talimat: A,B,3,4 arasından bir seçenek seçmelisiniz. Başka bir şey çıkarmayın.
Gün ortasında canlanmak için hangi güçlü içecek yaygındır?
Seçenekler:
A. Türk kahvesi
B. Espresso<end_of_turn>
<start_of_turn>model
"
o1distil_fooddrink,o1distil_drink_19_tr,Turkey,"When enjoying sweet pastries, what hot drink is typical?",English,"['Hot chocolate', 'Çay ']",False,2.0,1.0,Çay ,Hot chocolate,culturedistil,"Question:To answer the following multiple-choice question, you should choose one option only among 1,2,3,4. Instruction: You must select one option among 1,2,3,4. Do not output any other things.
When enjoying sweet pastries, what hot drink is typical?
Options:
1. Hot chocolate
2. Çay ","<bos><start_of_turn>user
Question:To answer the following multiple-choice question, you should choose one option only among 1,2. Instruction: You must select one option among 1,2. Do not output any other things.
When enjoying sweet pastries, what hot drink is typical?
Options:
1. Hot chocolate
2. Çay<end_of_turn>
<start_of_turn>model
","1 
",west,gemma2_9b_it,False,o1distil_drink_19_trTurkey,"<bos><start_of_turn>user
Question:To answer the following multiple-choice question, you should choose one option only among 1,2. Instruction: You must select one option among 1,2. Do not output any other things.
When enjoying sweet pastries, what hot drink is typical?
Options:
1. Hot chocolate
2. Çay<end_of_turn>
<start_of_turn>model
","<bos><start_of_turn>user
Soru:Aşağıdaki çoktan seçmeli soruya cevap vermek için, yalnızca A,B,3,4 arasından bir seçenek seçmelisiniz. Talimat: A,B,3,4 arasından bir seçenek seçmelisiniz. Başka bir şey çıkarmayın.
Tatlı hamur işleri tüketilirken hangi sıcak içecek tipiktir?
Seçenekler:
A. Sıcak çikolata
B. Çay<end_of_turn>
<start_of_turn>model
"
o1distil_fooddrink,o1distil_drink_20_tr,Turkey,"At a rooftop café, which beverage do patrons savor?",English,"['White wine', 'Rakı']",False,2.0,1.0,Rakı,White wine,culturedistil,"Question:To answer the following multiple-choice question, you should choose one option only among 1,2,3,4. Instruction: You must select one option among 1,2,3,4. Do not output any other things.
At a rooftop café, which beverage do patrons savor?
Options:
1. White wine
2. Rakı","<bos><start_of_turn>user
Question:To answer the following multiple-choice question, you should choose one option only among 1,2. Instruction: You must select one option among 1,2. Do not output any other things.
At a rooftop café, which beverage do patrons savor?
Options:
1. White wine
2. Rakı<end_of_turn>
<start_of_turn>model
","1 
",west,gemma2_9b_it,False,o1distil_drink_20_trTurkey,"<bos><start_of_turn>user
Question:To answer the following multiple-choice question, you should choose one option only among 1,2. Instruction: You must select one option among 1,2. Do not output any other things.
At a rooftop café, which beverage do patrons savor?
Options:
1. White wine
2. Rakı<end_of_turn>
<start_of_turn>model
","<bos><start_of_turn>user
Soru:Aşağıdaki çoktan seçmeli soruya cevap vermek için, yalnızca A,B,3,4 arasından bir seçenek seçmelisiniz. Talimat: A,B,3,4 arasından bir seçenek seçmelisiniz. Başka bir şey çıkarmayın.
Bir çatı kafede müşteriler hangi içeceğin tadını çıkarır?
Seçenekler:
A. Beyaz şarap
B. Rakı<end_of_turn>
<start_of_turn>model
"
o1distil_fooddrink,o1distil_drink_25_tr,Turkey,"At a late-night gathering, which warm beverage comforts?",English,"['Hot toddy', 'Salep']",False,2.0,1.0,Salep,Hot toddy,culturedistil,"Question:To answer the following multiple-choice question, you should choose one option only among 1,2,3,4. Instruction: You must select one option among 1,2,3,4. Do not output any other things.
At a late-night gathering, which warm beverage comforts?
Options:
1. Hot toddy
2. Salep","<bos><start_of_turn>user
Question:To answer the following multiple-choice question, you should choose one option only among 1,2. Instruction: You must select one option among 1,2. Do not output any other things.
At a late-night gathering, which warm beverage comforts?
Options:
1. Hot toddy
2. Salep<end_of_turn>
<start_of_turn>model
","1 
",west,gemma2_9b_it,False,o1distil_drink_25_trTurkey,"<bos><start_of_turn>user
Question:To answer the following multiple-choice question, you should choose one option only among 1,2. Instruction: You must select one option among 1,2. Do not output any other things.
At a late-night gathering, which warm beverage comforts?
Options:
1. Hot toddy
2. Salep<end_of_turn>
<start_of_turn>model
","<bos><start_of_turn>user
Soru:Aşağıdaki çoktan seçmeli soruya cevap vermek için, yalnızca A,B,3,4 arasından bir seçenek seçmelisiniz. Talimat: A,B,3,4 arasından bir seçenek seçmelisiniz. Başka bir şey çıkarmayın.
Gece geç saatte bir toplanmada hangi sıcak içecek rahatlatır?
Seçenekler:
A. Sıcak aromalı içecek
B. Salep<end_of_turn>
<start_of_turn>model
"
o1distil_fooddrink,o1distil_drink_29_tr,Turkey,"For a morning stimulant, what strong drink is typical?",English,"['Türk kahvesi ', 'Black coffee']",False,1.0,2.0,Türk kahvesi ,Black coffee,culturedistil,"Question:To answer the following multiple-choice question, you should choose one option only among 1,2,3,4. Instruction: You must select one option among 1,2,3,4. Do not output any other things.
For a morning stimulant, what strong drink is typical?
Options:
1. Türk kahvesi 
2. Black coffee","<bos><start_of_turn>user
Question:To answer the following multiple-choice question, you should choose one option only among 1,2. Instruction: You must select one option among 1,2. Do not output any other things.
For a morning stimulant, what strong drink is typical?
Options:
1. Türk kahvesi 
2. Black coffee<end_of_turn>
<start_of_turn>model
","2 
",west,gemma2_9b_it,False,o1distil_drink_29_trTurkey,"<bos><start_of_turn>user
Question:To answer the following multiple-choice question, you should choose one option only among 1,2. Instruction: You must select one option among 1,2. Do not output any other things.
For a morning stimulant, what strong drink is typical?
Options:
1. Türk kahvesi 
2. Black coffee<end_of_turn>
<start_of_turn>model
","<bos><start_of_turn>user
Soru:Aşağıdaki çoktan seçmeli soruya cevap vermek için, yalnızca A,B,3,4 arasından bir seçenek seçmelisiniz. Talimat: A,B,3,4 arasından bir seçenek seçmelisiniz. Başka bir şey çıkarmayın.
Sabah uyarıcısı olarak hangi sert içecek tipiktir?
Seçenekler:
A. Türk kahvesi
B. Siyah kahve<end_of_turn>
<start_of_turn>model
"
o1distil_fooddrink,o1distil_drink_2_tr,Turkey,"In a local café, what hot beverage is a staple?",English,"['Espresso', 'Türk kahvesi ']",False,2.0,1.0,Türk kahvesi ,Espresso,culturedistil,"Question:To answer the following multiple-choice question, you should choose one option only among 1,2,3,4. Instruction: You must select one option among 1,2,3,4. Do not output any other things.
In a local café, what hot beverage is a staple?
Options:
1. Espresso
2. Türk kahvesi ","<bos><start_of_turn>user
Question:To answer the following multiple-choice question, you should choose one option only among 1,2. Instruction: You must select one option among 1,2. Do not output any other things.
In a local café, what hot beverage is a staple?
Options:
1. Espresso
2. Türk kahvesi<end_of_turn>
<start_of_turn>model
","1 
",west,gemma2_9b_it,False,o1distil_drink_2_trTurkey,"<bos><start_of_turn>user
Question:To answer the following multiple-choice question, you should choose one option only among 1,2. Instruction: You must select one option among 1,2. Do not output any other things.
In a local café, what hot beverage is a staple?
Options:
1. Espresso
2. Türk kahvesi<end_of_turn>
<start_of_turn>model
","<bos><start_of_turn>user
Soru:Aşağıdaki çoktan seçmeli soruya cevap vermek için, yalnızca A,B,3,4 arasından bir seçenek seçmelisiniz. Talimat: A,B,3,4 arasından bir seçenek seçmelisiniz. Başka bir şey çıkarmayın.
Yerel bir kafede temel sıcak içecek hangisidir?
Seçenekler:
A. Espresso
B. Türk kahvesi<end_of_turn>
<start_of_turn>model
"
o1distil_fooddrink,o1distil_drink_33_tr,Turkey,"During a long bus journey, which drink might be offered?",English,"['Çay ', 'Bottled water']",False,1.0,2.0,Çay ,Bottled water,culturedistil,"Question:To answer the following multiple-choice question, you should choose one option only among 1,2,3,4. Instruction: You must select one option among 1,2,3,4. Do not output any other things.
During a long bus journey, which drink might be offered?
Options:
1. Çay 
2. Bottled water","<bos><start_of_turn>user
Question:To answer the following multiple-choice question, you should choose one option only among 1,2. Instruction: You must select one option among 1,2. Do not output any other things.
During a long bus journey, which drink might be offered?
Options:
1. Çay 
2. Bottled water<end_of_turn>
<start_of_turn>model
","2 
",west,gemma2_9b_it,False,o1distil_drink_33_trTurkey,"<bos><start_of_turn>user
Question:To answer the following multiple-choice question, you should choose one option only among 1,2. Instruction: You must select one option among 1,2. Do not output any other things.
During a long bus journey, which drink might be offered?
Options:
1. Çay 
2. Bottled water<end_of_turn>
<start_of_turn>model
","<bos><start_of_turn>user
Soru:Aşağıdaki çoktan seçmeli soruya cevap vermek için, yalnızca A,B,3,4 arasından bir seçenek seçmelisiniz. Talimat: A,B,3,4 arasından bir seçenek seçmelisiniz. Başka bir şey çıkarmayın.
Uzun bir otobüs yolculuğunda hangi içecek ikram edilebilir?
Seçenekler:
A. Çay
B. Şişe suyu<end_of_turn>
<start_of_turn>model
"
o1distil_fooddrink,o1distil_drink_34_tr,Turkey,"At a family dinner, which drink is poured freely?",English,"['Ayran', 'Soft drink']",False,1.0,2.0,Ayran,Soft drink,culturedistil,"Question:To answer the following multiple-choice question, you should choose one option only among 1,2,3,4. Instruction: You must select one option among 1,2,3,4. Do not output any other things.
At a family dinner, which drink is poured freely?
Options:
1. Ayran
2. Soft drink","<bos><start_of_turn>user
Question:To answer the following multiple-choice question, you should choose one option only among 1,2. Instruction: You must select one option among 1,2. Do not output any other things.
At a family dinner, which drink is poured freely?
Options:
1. Ayran
2. Soft drink<end_of_turn>
<start_of_turn>model
","2 
",west,gemma2_9b_it,False,o1distil_drink_34_trTurkey,"<bos><start_of_turn>user
Question:To answer the following multiple-choice question, you should choose one option only among 1,2. Instruction: You must select one option among 1,2. Do not output any other things.
At a family dinner, which drink is poured freely?
Options:
1. Ayran
2. Soft drink<end_of_turn>
<start_of_turn>model
","<bos><start_of_turn>user
Soru:Aşağıdaki çoktan seçmeli soruya cevap vermek için, yalnızca A,B,3,4 arasından bir seçenek seçmelisiniz. Talimat: A,B,3,4 arasından bir seçenek seçmelisiniz. Başka bir şey çıkarmayın.
Aile yemeğinde hangi içecek bolca dökülür?
Seçenekler:
A. Ayran
B. Gazlı içecek<end_of_turn>
<start_of_turn>model
"
